time_iso8601,forks_cumulative
2023-03-16 00:00:00+00:00,1
2023-03-17 00:00:00+00:00,2
2023-03-18 00:00:00+00:00,4
2023-03-20 00:00:00+00:00,5
2023-03-28 00:00:00+00:00,7
2023-03-29 00:00:00+00:00,10
2023-03-30 00:00:00+00:00,13
2023-03-31 00:00:00+00:00,17
2023-04-01 00:00:00+00:00,23
2023-04-02 00:00:00+00:00,99
2023-04-03 00:00:00+00:00,349
2023-04-04 00:00:00+00:00,586
2023-04-05 00:00:00+00:00,848
2023-04-06 00:00:00+00:00,1131
2023-04-07 00:00:00+00:00,1437
2023-04-08 00:00:00+00:00,1713
2023-04-09 00:00:00+00:00,1962
2023-04-10 00:00:00+00:00,2277
2023-04-11 00:00:00+00:00,2694
2023-04-12 00:00:00+00:00,3648
2023-04-13 00:00:00+00:00,5341
2023-04-14 00:00:00+00:00,7259
2023-04-15 00:00:00+00:00,8558
2023-04-16 00:00:00+00:00,9625
2023-04-17 00:00:00+00:00,10973
2023-04-18 00:00:00+00:00,11901
2023-04-19 00:00:00+00:00,12574
2023-04-20 00:00:00+00:00,13168
2023-04-21 00:00:00+00:00,13666
2023-04-22 00:00:00+00:00,14073
2023-04-23 00:00:00+00:00,14689
2023-04-24 00:00:00+00:00,16006
2023-04-25 00:00:00+00:00,16980
2023-04-26 00:00:00+00:00,17603
2023-04-27 00:00:00+00:00,18434
2023-04-28 00:00:00+00:00,18941
2023-04-29 00:00:00+00:00,19244
2023-04-30 00:00:00+00:00,19519
2023-05-01 00:00:00+00:00,19793
2023-05-02 00:00:00+00:00,20068
2023-05-03 00:00:00+00:00,20376
2023-05-04 00:00:00+00:00,20710
2023-05-05 00:00:00+00:00,20994
2023-05-06 00:00:00+00:00,21287
2023-05-07 00:00:00+00:00,21510
2023-05-08 00:00:00+00:00,21735
2023-05-09 00:00:00+00:00,21926
2023-05-10 00:00:00+00:00,22119
2023-05-11 00:00:00+00:00,22278
2023-05-12 00:00:00+00:00,22422
2023-05-13 00:00:00+00:00,22537
2023-05-14 00:00:00+00:00,22669
2023-05-15 00:00:00+00:00,22814
2023-05-16 00:00:00+00:00,22949
2023-05-17 00:00:00+00:00,23080
2023-05-18 00:00:00+00:00,23207
2023-05-19 00:00:00+00:00,23320
2023-05-20 00:00:00+00:00,23417
2023-05-21 00:00:00+00:00,23496
2023-05-22 00:00:00+00:00,23664
2023-05-23 00:00:00+00:00,23779
2023-05-24 00:00:00+00:00,23891
2023-05-25 00:00:00+00:00,24010
2023-05-26 00:00:00+00:00,24123
2023-05-27 00:00:00+00:00,24206
2023-05-28 00:00:00+00:00,24275
2023-05-29 00:00:00+00:00,24358
2023-05-30 00:00:00+00:00,24444
2023-05-31 00:00:00+00:00,24528
2023-06-01 00:00:00+00:00,24582
2023-06-02 00:00:00+00:00,24654
2023-06-03 00:00:00+00:00,24730
2023-06-04 00:00:00+00:00,24786
2023-06-05 00:00:00+00:00,24883
2023-06-06 00:00:00+00:00,24965
2023-06-07 00:00:00+00:00,25032
2023-06-08 00:00:00+00:00,25105
2023-06-09 00:00:00+00:00,25167
2023-06-10 00:00:00+00:00,25210
2023-06-11 00:00:00+00:00,25266
